id,title,status,milestone_id,kpi_id,evidence,owner,last_updated,notes
PRG-001,Create program charter and milestone map,done,M0,M0-K1,docs/PROGRAM_PLAN.md,codex,2026-02-21,Initial charter added
PRG-002,Add machine-readable milestone and KPI tracker,done,M0,M0-K2,analysis/program/plan.json|analysis/program/work_items.csv,codex,2026-02-21,Tracker files added
PRG-003,Implement program gate and wire to CI,done,M0,M0-K3,scripts/program_gate.py|Makefile,codex,2026-02-21,Gate target added and included in ci
PRG-010,Scale licensed source coverage to 50 items,done,M1,M1-K1,analysis/sources/web_seed_manifest.json|out/acquired_sources/index.json|out/acquired_sources/review.json|out/acquired_sources_nonwiki/index.json|out/acquired_sources_nonwiki/review.json,codex,2026-02-21,Completed: 65 licensed sources (60 wiki + 5 nonwiki) with review pass 65/65
PRG-011,Enforce acquisition review pass-rate KPI,done,M1,M1-K2,scripts/review_passrate_gate.py|Makefile|src/test/resources/review_passrate/pass-95.json|src/test/resources/review_passrate/fail-95.json|docs/USAGE.md,codex,2026-02-21,Implemented gate with >=95% threshold; wired into acquire targets and make ci
PRG-012,Enforce zero disallowed-license sources,done,M1,M1-K3,scripts/license_policy_gate.py|Makefile|src/test/resources/license_policy/pass-index.json|src/test/resources/license_policy/fail-index.json|docs/ACQUISITION-SPEC.md|docs/USAGE.md,codex,2026-02-21,Implemented license policy gate; wired into acquisition targets and make ci
PRG-020,Deterministic conversion batch for acquired corpus,done,M2,M2-K1,scripts/convert_acquired_batch.py|Makefile|docs/USAGE.md|out/m2_conversion/run1/index.json|out/m2_conversion/run2/index.json,codex,2026-02-21,Completed: 65 acquired sources converted with deterministic run1/run2 identical indices and 0 failures
PRG-021,Strict doctor pass-rate KPI gate for generated FDML,done,M2,M2-K2,scripts/doctor_passrate_gate.py|Makefile|src/test/resources/doctor_passrate/pass-index.json|src/test/resources/doctor_passrate/fail-index.json|docs/USAGE.md,codex,2026-02-21,Completed: strict doctor pass-rate gate added with >=90% threshold; fixture pass/fail checks and live batch report wired in CI
PRG-022,Provenance coverage gate for generated FDML,done,M2,M2-K3,scripts/provenance_coverage_gate.py|Makefile|src/test/resources/provenance_coverage/pass-index.json|src/test/resources/provenance_coverage/fail-index.json|docs/USAGE.md,codex,2026-02-21,Completed: provenance coverage gate added with 100% threshold; fixture pass/fail checks and live batch report wired in CI
PRG-030,Activate M3 and add semantic enrichment baseline gate,done,M3,M3-K1,analysis/program/plan.json|analysis/program/work_items.csv|scripts/semantic_enrichment_inventory.py|Makefile|docs/PROGRAM_PLAN.md|docs/USAGE.md,codex,2026-02-21,Completed: M3 activated; semantic enrichment baseline inventory gate added (baseline 9 strict-enriched files; target 15)
